date,Open,High,Low,Close,volume
5/16/1997,1.865,1.9792,1.7083,1.7292,14700000
5/19/1997,1.7083,1.7708,1.625,1.7083,6106800
5/20/1997,1.7292,1.75,1.6358,1.6358,5467200
5/21/1997,1.6042,1.6458,1.375,1.4275,18853200
5/22/1997,1.4375,1.4483,1.3125,1.3958,11776800
5/23/1997,1.4067,1.5208,1.3333,1.5,15937200
5/27/1997,1.4792,1.6458,1.4583,1.5833,8697600
5/28/1997,1.6092,1.6358,1.5317,1.5317,4574400
5/29/1997,1.5417,1.5417,1.4792,1.505,3472800
5/30/1997,1.5,1.5108,1.4792,1.5,2594400
6/2/1997,1.5108,1.5317,1.5,1.5108,591600
6/3/1997,1.5317,1.5317,1.4792,1.4792,1183200
6/4/1997,1.4792,1.49,1.3958,1.4167,3080400
6/5/1997,1.4167,1.5417,1.375,1.5417,5672400
6/6/1997,1.5108,1.7083,1.5108,1.6567,7807200
6/9/1997,1.6875,1.7083,1.6567,1.6875,2352000
6/10/1997,1.7083,1.7083,1.5317,1.5833,5458800
6/11/1997,1.5942,1.6042,1.5317,1.5417,1188000
6/12/1997,1.5833,1.6458,1.5525,1.6042,1632000
6/13/1997,1.625,1.625,1.5833,1.5833,693600
6/16/1997,1.5833,1.6042,1.5625,1.5733,913200
6/17/1997,1.5783,1.5992,1.495,1.505,4706400
6/18/1997,1.5208,1.5367,1.5,1.5108,2464800
6/19/1997,1.5108,1.5317,1.5,1.5108,1003200
6/20/1997,1.5317,1.5525,1.5,1.5258,3387600
6/23/1997,1.5208,1.5417,1.4792,1.5,1047600
6/24/1997,1.505,1.5258,1.4792,1.5108,751200
6/25/1997,1.5108,1.5258,1.49,1.5108,2106000
6/26/1997,1.5208,1.5208,1.505,1.5108,3189600
6/27/1997,1.5158,1.5158,1.4792,1.49,1188000
6/30/1997,1.5108,1.5992,1.4792,1.5417,2746800
7/1/1997,1.5417,1.5417,1.5108,1.5158,1292400
7/2/1997,1.5367,1.5942,1.5108,1.5883,3882000
7/3/1997,1.6358,1.9167,1.5942,1.9117,12577200
7/7/1997,1.8333,2.0208,1.8333,2,8053200
7/8/1997,2.0417,2.3333,2.0417,2.3025,15517200
7/9/1997,2.3025,2.3858,2.2708,2.3233,8262000
7/10/1997,2.365,2.3858,2.3333,2.375,9051600
7/11/1997,2.365,2.5208,2.2083,2.3333,10531200
7/14/1997,2.3125,2.3333,2.1775,2.2083,4604400
7/15/1997,2.1875,2.3958,2.1358,2.3858,9274800
7/16/1997,2.4483,2.495,2.3025,2.3333,3024000
7/17/1997,2.2608,2.3442,2.2192,2.24,3169200
7/18/1997,2.1875,2.2192,2.1567,2.1567,780000
7/21/1997,2.1775,2.1983,2.1458,2.1775,574800
7/22/1997,2.1667,2.1875,2.0625,2.1358,1563600
7/23/1997,2.1875,2.2708,2.1775,2.2658,3259200
7/24/1997,2.3025,2.3125,2.2192,2.2608,1216800
7/25/1997,2.2292,2.25,2.2192,2.2292,620400
7/28/1997,2.2292,2.3025,2.2192,2.2917,2574000
7/29/1997,2.365,2.4067,2.3333,2.3858,4814400
7/30/1997,2.365,2.5,2.3333,2.4792,2517600
7/31/1997,2.4375,2.4375,2.3333,2.3958,1454400
8/1/1997,2.3442,2.4167,2.25,2.4167,3588000
8/4/1997,2.375,2.4117,2.3025,2.3125,2671200
8/5/1997,2.3125,2.3333,2.1458,2.2083,3032400
8/6/1997,2.2083,2.3125,2.1875,2.25,1243200
8/7/1997,2.25,2.2608,2.125,2.1775,2034000
8/8/1997,2.1667,2.3025,2.1042,2.2917,2211600
8/11/1997,2.2917,2.3333,2.25,2.3283,1239600
8/12/1997,2.2817,2.3025,2.1983,2.1983,571200
8/13/1997,2.2292,2.2292,2.1667,2.1983,590400
8/14/1997,2.1775,2.25,2.12,2.1567,1041600
8/15/1997,1.9583,2.1567,1.9375,2.115,1597200
8/18/1997,2.0317,2.0525,1.9692,2.0417,1784400
8/19/1997,2.0942,2.2083,2.0525,2.1667,1003200
8/20/1997,2.0833,2.1875,2.0733,2.1667,999600
8/21/1997,2.1358,2.1717,2.0733,2.115,624000
8/22/1997,2.1042,2.125,2.0942,2.125,712800
8/25/1997,2.1042,2.2608,2.1042,2.2192,1126800
8/26/1997,2.24,2.3542,2.2292,2.3442,2574000
8/27/1997,2.3075,2.3233,2.25,2.3175,1392000
8/28/1997,2.3025,2.3958,2.2817,2.375,1147200
8/29/1997,2.365,2.375,2.3233,2.3383,722400
9/2/1997,2.3442,2.375,2.3333,2.3542,732000
9/3/1997,2.3442,2.4167,2.3125,2.3333,1964400
9/4/1997,2.365,2.5525,2.3442,2.5525,3348000
9/5/1997,2.5833,2.6667,2.4583,2.5,1908000
9/8/1997,2.5317,3.0208,2.5,3,5648400
9/9/1997,3.1458,3.3858,3.0317,3.24,8971200
9/10/1997,3.3125,3.3333,3.125,3.3025,3866400
9/11/1997,3.24,3.3333,3.0417,3.1567,4262400
9/12/1997,3.1875,3.6983,3.1567,3.6875,3333600
9/15/1997,3.5317,3.6775,3.0525,3.0942,5583600
9/16/1997,3.2292,3.5417,3.125,3.3542,6432000
9/17/1997,3.4583,3.5,3.3333,3.4067,2607600
9/18/1997,3.4375,3.4692,3.2817,3.2917,2128800
9/19/1997,3.4692,4.0833,3.375,3.9483,8929200
9/22/1997,4.0525,4.6775,3.9483,4.5,16938000
9/23/1997,4.49,4.6458,4.3958,4.625,7682400
9/24/1997,4.6458,4.8125,4.2917,4.375,8200800
9/25/1997,4.125,4.3542,4.0525,4.0833,4968000
9/26/1997,4.24,4.2608,4.0525,4.1667,2731200
9/29/1997,4.1458,4.1875,3.9583,4.0417,2371200
9/30/1997,4,4.3542,3.8025,4.3442,5254800
10/1/1997,4.2817,4.5,3.9375,4.0208,4999200
10/2/1997,4.0417,4.1775,3.99,4.0108,1876800
10/3/1997,4.0833,4.125,3.9792,4.0208,1164000
10/6/1997,4,4.125,3.9483,4.125,2028000
10/7/1997,4.0833,4.1875,4.0417,4.0625,1742400
10/8/1997,4.1458,4.1667,3.99,4.0108,2806800
10/9/1997,4,4.0208,3.74,3.75,3950400
10/10/1997,3.75,4.0625,3.6667,3.9067,3787200
10/13/1997,4,4.0417,3.9275,4,814800
10/14/1997,4.0625,4.1042,3.8333,3.9792,1546800
10/15/1997,3.9167,3.9692,3.7708,3.9275,2355600
10/16/1997,3.9067,3.9792,3.6042,3.625,3481200
10/17/1997,3.615,3.6567,3.5208,3.625,2534400
10/20/1997,3.8333,3.875,3.6667,3.8233,4912800
10/21/1997,3.9583,4.4375,3.8542,4.4275,12096000
10/22/1997,4.4167,4.625,4.375,4.5208,5208000
10/23/1997,4.3542,4.5625,4.1875,4.5,5656800
10/24/1997,4.75,5.0625,4.5417,5.0317,9492000
10/27/1997,4.8025,5.0108,4.2292,4.2708,6091200
10/28/1997,3.9167,5,3.875,4.9483,11719200
10/29/1997,5.1458,5.5,5,5.3958,7126800
10/30/1997,5.2083,5.3542,5.0417,5.125,4770000
10/31/1997,5.3542,5.4583,4.9692,5.0833,5026800
11/3/1997,5.115,5.2192,4.9483,5.0733,1999200
11/4/1997,4.9167,5.0525,4.8233,4.9583,2365200
11/5/1997,4.9792,5.125,4.875,4.875,3093600
