d,o,h,l,c,v,s
3/5/2020 9:31,48.68,48.99,48.35,48.96,2704707,5
3/5/2020 9:32,48.96,49.09,48.77,49,564045,5
3/5/2020 9:33,49.0182,49.0182,48.74,48.89,356421,5
3/5/2020 9:34,48.89,49.08,48.66,48.7583,420294,5
3/5/2020 9:35,48.7501,49.19,48.7501,49.17,455399,5
3/5/2020 9:36,49.18,49.24,49.07,49.18,426224,5
3/5/2020 9:37,49.1799,49.55,49.16,49.5302,519712,5
3/5/2020 9:38,49.53,49.5997,49.3,49.34,508009,5
3/5/2020 9:39,49.33,49.46,49.25,49.45,293319,5
3/5/2020 9:40,49.46,49.46,49.23,49.31,278454,5
3/5/2020 9:41,49.32,49.3772,49.02,49.06,380094,5
3/5/2020 9:42,49.06,49.11,48.925,49.11,340081,5
3/5/2020 9:43,49.08,49.2,48.86,48.9507,342082,5
3/5/2020 9:44,48.955,49,48.88,48.91,215679,5
3/5/2020 9:45,48.91,49.12,48.88,49.0499,340315,5
3/5/2020 9:46,49.05,49.16,48.97,49.14,299403,5
3/5/2020 9:47,49.16,49.26,49.02,49.12,269723,5
3/5/2020 9:48,49.1298,49.19,48.9023,48.91,215056,5
3/5/2020 9:49,48.9099,48.93,48.73,48.8901,363192,5
3/5/2020 9:50,48.8918,48.9,48.71,48.759,210663,5
3/5/2020 9:51,48.7564,48.84,48.685,48.71,293954,5
3/5/2020 9:52,48.71,48.92,48.69,48.72,423298,5
3/5/2020 9:53,48.72,48.75,48.59,48.62,500249,5
3/5/2020 9:54,48.618,48.85,48.6,48.8423,324792,5
3/5/2020 9:55,48.8401,48.85,48.67,48.7675,300871,5
3/5/2020 9:56,48.77,48.86,48.6,48.615,269549,5
3/5/2020 9:57,48.63,48.645,48.5,48.51,337058,5
3/5/2020 9:58,48.52,48.58,48.43,48.56,294712,5
3/5/2020 9:59,48.56,48.71,48.53,48.66,205052,5
3/5/2020 10:00,48.66,48.85,48.63,48.81,225449,5
3/5/2020 10:01,48.805,48.96,48.66,48.87,316643,5
3/5/2020 10:02,48.875,48.94,48.84,48.93,241162,5
